Id,SalePrice
1461,5.081918576
1462,5.191099944
1463,5.264071312
1464,5.302334507
1465,5.290922806
1466,5.232347462
1467,5.260851854
1468,5.212772036
1469,5.277265672
1470,5.083097866
1471,5.234074973
1472,4.995966798
1473,4.978038583
1474,5.158792053
1475,5.062280778
1476,5.557577254
1477,5.403921564
1478,5.47837284
1479,5.471168502
1480,5.740143708
1481,5.524089149
1482,5.314093057
1483,5.241435699
1484,5.216898854
1485,5.254029477
1486,5.272925041
1487,5.541444555
1488,5.343171648
1489,5.285298481
1490,5.380285354
1491,5.28315433
1492,4.976168225
1493,5.257118888
1494,5.460933365
1495,5.452049926
1496,5.365601259
1497,5.258684759
1498,5.29242085
1499,5.217213387
1500,5.19839972
1501,5.253463622
1502,5.183648213
1503,5.589207589
1504,5.383626166
1505,5.357972447
1506,5.278518877
1507,5.405815972
1508,5.290520535
1509,5.205087136
1510,5.159838457
1511,5.233301377
1512,5.23383911
1513,5.138697241
1514,5.200886963
1515,5.291794541
1516,5.160039588
1517,5.223602797
1518,5.115737845
1519,5.325123097
1520,5.108338931
1521,5.119242308
1522,5.245755036
1523,5.067260488
1524,5.07897808
1525,5.084085261
1526,5.041738918
1527,5.045507306
1528,5.132230234
1529,5.198798248
1530,5.296832585
1531,5.067389085
1532,4.961142143
1533,5.17842873
1534,5.101328358
1535,5.138477241
1536,5.023378993
1537,4.771584317
1538,5.149690889
1539,5.257361236
1540,4.887771256
1541,5.12696673
1542,5.19472848
1543,5.252745023
1544,4.929362761
1545,5.063443394
1546,5.142023865
1547,5.13447775
1548,5.139120184
1549,5.093616882
1550,5.129895155
1551,5.011997623
1552,5.150162473
1553,5.123074316
1554,5.084163053
1555,5.199945494
1556,0
1557,5.057830543
1558,5.036957098
1559,4.759715579
1560,5.110255319
1561,5.080224996
1562,5.126202767
1563,5.085376244
1564,5.21155277
1565,5.172234278
1566,5.363963717
1567,4.906114342
1568,5.38102247
1569,5.123232804
1570,5.116589707
1571,5.042724975
1572,5.144965438
1573,5.366863852
1574,5.070879093
1575,5.368229119
1576,5.354650953
1577,5.251652528
1578,5.145781592
1579,5.167420435
1580,5.282754129
1581,5.200682526
1582,5.106937813
1583,5.478830512
1584,5.340939651
1585,5.136370777
1586,4.945551483
1587,5.044160572
1588,5.165953356
1589,4.992614433
1590,5.120297191
1591,4.969119167
1592,5.067863894
1593,5.111536254
1594,5.124280947
1595,5.034044481
1596,5.346994972
1597,5.309125223
1598,5.335512924
1599,5.199257766
1600,5.173162809
1601,4.855217155
1602,5.081812614
1603,4.782156734
1604,5.41971633
1605,5.356432295
1606,5.21723446
1607,5.261544706
1608,5.324426274
1609,5.256430792
1610,5.179715048
1611,5.11308895
1612,5.230974971
1613,5.219385916
1614,5.057389791
1615,4.951164025
1616,4.897679682
1617,4.964304808
1618,5.164930602
1619,5.156749028
1620,5.197057813
1621,5.130931019
1622,5.17131621
1623,5.412129244
1624,5.312383405
1625,5.063911659
1626,5.218477412
1627,5.290094498
1628,5.43264417
1629,5.241281778
1630,5.576101226
1631,5.366591865
1632,5.391398297
1633,5.228993391
1634,5.270589929
1635,5.235298752
1636,5.187014974
1637,5.317537874
1638,5.253032443
1639,5.25524
1640,5.380549466
1641,5.243375504
1642,5.396963268
1643,5.349439595
1644,5.380508282
1645,5.344056555
1646,5.207011989
1647,5.188484692
1648,5.108169627
1649,5.147769849
1650,5.063553388
1651,5.091246464
1652,4.992001931
